DateKey;Date;Day;Month;ShortMonth;MonthNo;Quarter;Year
20050101;1.01.2011;Saturday;January;Jan;1;1;2011
20050102;2.01.2011;Sunday;January;Jan;1;1;2011
20050103;3.01.2011;Monday;January;Jan;1;1;2011
20050104;4.01.2011;Tuesday;January;Jan;1;1;2011
20050105;5.01.2011;Wednesday;January;Jan;1;1;2011
20050106;6.01.2011;Thursday;January;Jan;1;1;2011
20050107;7.01.2011;Friday;January;Jan;1;1;2011
20050108;8.01.2011;Saturday;January;Jan;1;1;2011
20050109;9.01.2011;Sunday;January;Jan;1;1;2011
20050110;10.01.2011;Monday;January;Jan;1;1;2011
20050111;11.01.2011;Tuesday;January;Jan;1;1;2011
20050112;12.01.2011;Wednesday;January;Jan;1;1;2011
20050113;13.01.2011;Thursday;January;Jan;1;1;2011
20050114;14.01.2011;Friday;January;Jan;1;1;2011
20050115;15.01.2011;Saturday;January;Jan;1;1;2011
20050116;16.01.2011;Sunday;January;Jan;1;1;2011
20050117;17.01.2011;Monday;January;Jan;1;1;2011
20050118;18.01.2011;Tuesday;January;Jan;1;1;2011
20050119;19.01.2011;Wednesday;January;Jan;1;1;2011
20050120;20.01.2011;Thursday;January;Jan;1;1;2011
20050121;21.01.2011;Friday;January;Jan;1;1;2011
20050122;22.01.2011;Saturday;January;Jan;1;1;2011
20050123;23.01.2011;Sunday;January;Jan;1;1;2011
20050124;24.01.2011;Monday;January;Jan;1;1;2011
20050125;25.01.2011;Tuesday;January;Jan;1;1;2011
20050126;26.01.2011;Wednesday;January;Jan;1;1;2011
20050127;27.01.2011;Thursday;January;Jan;1;1;2011
20050128;28.01.2011;Friday;January;Jan;1;1;2011
20050129;29.01.2011;Saturday;January;Jan;1;1;2011
20050130;30.01.2011;Sunday;January;Jan;1;1;2011
20050131;31.01.2011;Monday;January;Jan;1;1;2011
20050201;1.02.2011;Tuesday;February;Feb;2;1;2011
20050202;2.02.2011;Wednesday;February;Feb;2;1;2011
20050203;3.02.2011;Thursday;February;Feb;2;1;2011
20050204;4.02.2011;Friday;February;Feb;2;1;2011
20050205;5.02.2011;Saturday;February;Feb;2;1;2011
20050206;6.02.2011;Sunday;February;Feb;2;1;2011
20050207;7.02.2011;Monday;February;Feb;2;1;2011
20050208;8.02.2011;Tuesday;February;Feb;2;1;2011
20050209;9.02.2011;Wednesday;February;Feb;2;1;2011
20050210;10.02.2011;Thursday;February;Feb;2;1;2011
20050211;11.02.2011;Friday;February;Feb;2;1;2011
20050212;12.02.2011;Saturday;February;Feb;2;1;2011
20050213;13.02.2011;Sunday;February;Feb;2;1;2011
20050214;14.02.2011;Monday;February;Feb;2;1;2011
20050215;15.02.2011;Tuesday;February;Feb;2;1;2011
20050216;16.02.2011;Wednesday;February;Feb;2;1;2011
20050217;17.02.2011;Thursday;February;Feb;2;1;2011
20050218;18.02.2011;Friday;February;Feb;2;1;2011
20050219;19.02.2011;Saturday;February;Feb;2;1;2011
20050220;20.02.2011;Sunday;February;Feb;2;1;2011
20050221;21.02.2011;Monday;February;Feb;2;1;2011
20050222;22.02.2011;Tuesday;February;Feb;2;1;2011
20050223;23.02.2011;Wednesday;February;Feb;2;1;2011
20050224;24.02.2011;Thursday;February;Feb;2;1;2011
20050225;25.02.2011;Friday;February;Feb;2;1;2011
20050226;26.02.2011;Saturday;February;Feb;2;1;2011
20050227;27.02.2011;Sunday;February;Feb;2;1;2011
20050228;28.02.2011;Monday;February;Feb;2;1;2011
20050301;1.03.2011;Tuesday;March;Mar;3;1;2011
20050302;2.03.2011;Wednesday;March;Mar;3;1;2011
20050303;3.03.2011;Thursday;March;Mar;3;1;2011
20050304;4.03.2011;Friday;March;Mar;3;1;2011
20050305;5.03.2011;Saturday;March;Mar;3;1;2011
20050306;6.03.2011;Sunday;March;Mar;3;1;2011
20050307;7.03.2011;Monday;March;Mar;3;1;2011
20050308;8.03.2011;Tuesday;March;Mar;3;1;2011
20050309;9.03.2011;Wednesday;March;Mar;3;1;2011
20050310;10.03.2011;Thursday;March;Mar;3;1;2011
20050311;11.03.2011;Friday;March;Mar;3;1;2011
20050312;12.03.2011;Saturday;March;Mar;3;1;2011
20050313;13.03.2011;Sunday;March;Mar;3;1;2011
20050314;14.03.2011;Monday;March;Mar;3;1;2011
20050315;15.03.2011;Tuesday;March;Mar;3;1;2011
20050316;16.03.2011;Wednesday;March;Mar;3;1;2011
20050317;17.03.2011;Thursday;March;Mar;3;1;2011
20050318;18.03.2011;Friday;March;Mar;3;1;2011
20050319;19.03.2011;Saturday;March;Mar;3;1;2011
20050320;20.03.2011;Sunday;March;Mar;3;1;2011
20050321;21.03.2011;Monday;March;Mar;3;1;2011
20050322;22.03.2011;Tuesday;March;Mar;3;1;2011
20050323;23.03.2011;Wednesday;March;Mar;3;1;2011
20050324;24.03.2011;Thursday;March;Mar;3;1;2011
20050325;25.03.2011;Friday;March;Mar;3;1;2011
20050326;26.03.2011;Saturday;March;Mar;3;1;2011
20050327;27.03.2011;Sunday;March;Mar;3;1;2011
20050328;28.03.2011;Monday;March;Mar;3;1;2011
20050329;29.03.2011;Tuesday;March;Mar;3;1;2011
20050330;30.03.2011;Wednesday;March;Mar;3;1;2011
20050331;31.03.2011;Thursday;March;Mar;3;1;2011
20050401;1.04.2011;Friday;April;Apr;4;2;2011
20050402;2.04.2011;Saturday;April;Apr;4;2;2011
20050403;3.04.2011;Sunday;April;Apr;4;2;2011
20050404;4.04.2011;Monday;April;Apr;4;2;2011
20050405;5.04.2011;Tuesday;April;Apr;4;2;2011
20050406;6.04.2011;Wednesday;April;Apr;4;2;2011
20050407;7.04.2011;Thursday;April;Apr;4;2;2011
20050408;8.04.2011;Friday;April;Apr;4;2;2011
20050409;9.04.2011;Saturday;April;Apr;4;2;2011
20050410;10.04.2011;Sunday;April;Apr;4;2;2011
20050411;11.04.2011;Monday;April;Apr;4;2;2011
20050412;12.04.2011;Tuesday;April;Apr;4;2;2011
20050413;13.04.2011;Wednesday;April;Apr;4;2;2011
20050414;14.04.2011;Thursday;April;Apr;4;2;2011
20050415;15.04.2011;Friday;April;Apr;4;2;2011
20050416;16.04.2011;Saturday;April;Apr;4;2;2011
20050417;17.04.2011;Sunday;April;Apr;4;2;2011
20050418;18.04.2011;Monday;April;Apr;4;2;2011
20050419;19.04.2011;Tuesday;April;Apr;4;2;2011
20050420;20.04.2011;Wednesday;April;Apr;4;2;2011
20050421;21.04.2011;Thursday;April;Apr;4;2;2011
20050422;22.04.2011;Friday;April;Apr;4;2;2011
20050423;23.04.2011;Saturday;April;Apr;4;2;2011
20050424;24.04.2011;Sunday;April;Apr;4;2;2011
20050425;25.04.2011;Monday;April;Apr;4;2;2011
20050426;26.04.2011;Tuesday;April;Apr;4;2;2011
20050427;27.04.2011;Wednesday;April;Apr;4;2;2011
20050428;28.04.2011;Thursday;April;Apr;4;2;2011
20050429;29.04.2011;Friday;April;Apr;4;2;2011
20050430;30.04.2011;Saturday;April;Apr;4;2;2011
20050501;1.05.2011;Sunday;May;May;5;2;2011
20050502;2.05.2011;Monday;May;May;5;2;2011
20050503;3.05.2011;Tuesday;May;May;5;2;2011
20050504;4.05.2011;Wednesday;May;May;5;2;2011
20050505;5.05.2011;Thursday;May;May;5;2;2011
20050506;6.05.2011;Friday;May;May;5;2;2011
20050507;7.05.2011;Saturday;May;May;5;2;2011
20050508;8.05.2011;Sunday;May;May;5;2;2011
20050509;9.05.2011;Monday;May;May;5;2;2011
20050510;10.05.2011;Tuesday;May;May;5;2;2011
20050511;11.05.2011;Wednesday;May;May;5;2;2011
20050512;12.05.2011;Thursday;May;May;5;2;2011
20050513;13.05.2011;Friday;May;May;5;2;2011
20050514;14.05.2011;Saturday;May;May;5;2;2011
20050515;15.05.2011;Sunday;May;May;5;2;2011
20050516;16.05.2011;Monday;May;May;5;2;2011
20050517;17.05.2011;Tuesday;May;May;5;2;2011
20050518;18.05.2011;Wednesday;May;May;5;2;2011
20050519;19.05.2011;Thursday;May;May;5;2;2011
20050520;20.05.2011;Friday;May;May;5;2;2011
20050521;21.05.2011;Saturday;May;May;5;2;2011
20050522;22.05.2011;Sunday;May;May;5;2;2011
20050523;23.05.2011;Monday;May;May;5;2;2011
20050524;24.05.2011;Tuesday;May;May;5;2;2011
20050525;25.05.2011;Wednesday;May;May;5;2;2011
20050526;26.05.2011;Thursday;May;May;5;2;2011
20050527;27.05.2011;Friday;May;May;5;2;2011
20050528;28.05.2011;Saturday;May;May;5;2;2011
20050529;29.05.2011;Sunday;May;May;5;2;2011
20050530;30.05.2011;Monday;May;May;5;2;2011
20050531;31.05.2011;Tuesday;May;May;5;2;2011
20050601;1.06.2011;Wednesday;June;Jun;6;2;2011
20050602;2.06.2011;Thursday;June;Jun;6;2;2011
20050603;3.06.2011;Friday;June;Jun;6;2;2011
20050604;4.06.2011;Saturday;June;Jun;6;2;2011
20050605;5.06.2011;Sunday;June;Jun;6;2;2011
20050606;6.06.2011;Monday;June;Jun;6;2;2011
20050607;7.06.2011;Tuesday;June;Jun;6;2;2011
20050608;8.06.2011;Wednesday;June;Jun;6;2;2011
20050609;9.06.2011;Thursday;June;Jun;6;2;2011
20050610;10.06.2011;Friday;June;Jun;6;2;2011
20050611;11.06.2011;Saturday;June;Jun;6;2;2011
20050612;12.06.2011;Sunday;June;Jun;6;2;2011
20050613;13.06.2011;Monday;June;Jun;6;2;2011
20050614;14.06.2011;Tuesday;June;Jun;6;2;2011
20050615;15.06.2011;Wednesday;June;Jun;6;2;2011
20050616;16.06.2011;Thursday;June;Jun;6;2;2011
20050617;17.06.2011;Friday;June;Jun;6;2;2011
20050618;18.06.2011;Saturday;June;Jun;6;2;2011
20050619;19.06.2011;Sunday;June;Jun;6;2;2011
20050620;20.06.2011;Monday;June;Jun;6;2;2011
20050621;21.06.2011;Tuesday;June;Jun;6;2;2011
20050622;22.06.2011;Wednesday;June;Jun;6;2;2011
20050623;23.06.2011;Thursday;June;Jun;6;2;2011
20050624;24.06.2011;Friday;June;Jun;6;2;2011
20050625;25.06.2011;Saturday;June;Jun;6;2;2011
20050626;26.06.2011;Sunday;June;Jun;6;2;2011
20050627;27.06.2011;Monday;June;Jun;6;2;2011
20050628;28.06.2011;Tuesday;June;Jun;6;2;2011
20050629;29.06.2011;Wednesday;June;Jun;6;2;2011
20050630;30.06.2011;Thursday;June;Jun;6;2;2011
