ProductKey;OrderDateKey;DueDateKey;ShipDateKey;CustomerKey;SalesOrderNumber;SalesAmount
310;20101229;20110110;20110105;21768;SO43697;3578,27
346;20101229;20110110;20110105;28389;SO43698;3399,99
346;20101229;20110110;20110105;25863;SO43699;3399,99
336;20101229;20110110;20110105;14501;SO43700;699,0982
346;20101229;20110110;20110105;11003;SO43701;3399,99
311;20101230;20110111;20110106;27645;SO43702;3578,27
310;20101230;20110111;20110106;16624;SO43703;3578,27
351;20101230;20110111;20110106;11005;SO43704;3374,99
344;20101230;20110111;20110106;11011;SO43705;3399,99
312;20101231;20110112;20110107;27621;SO43706;3578,27
312;20101231;20110112;20110107;27616;SO43707;3578,27
330;20101231;20110112;20110107;20042;SO43708;699,0982
313;20101231;20110112;20110107;16351;SO43709;3578,27
314;20101231;20110112;20110107;16517;SO43710;3578,27
314;20110101;20110113;20110108;27606;SO43711;3578,27
311;20110101;20110113;20110108;13513;SO43712;3578,27
310;20110102;20110114;20110109;27601;SO43713;3578,27
311;20110102;20110114;20110109;13591;SO43714;3578,27
314;20110102;20110114;20110109;16483;SO43715;3578,27
311;20110102;20110114;20110109;16529;SO43716;3578,27
336;20110102;20110114;20110109;25249;SO43717;699,0982
311;20110103;20110115;20110110;27668;SO43718;3578,27
312;20110103;20110115;20110110;27612;SO43719;3578,27
311;20110103;20110115;20110110;13264;SO43720;3578,27
310;20110103;20110115;20110110;13590;SO43721;3578,27
312;20110104;20110116;20110111;13581;SO43722;3578,27
332;20110104;20110116;20110111;14520;SO43723;699,0982
311;20110104;20110116;20110111;16520;SO43724;3578,27
311;20110105;20110117;20110112;13258;SO43725;3578,27
332;20110105;20110117;20110112;14560;SO43726;699,0982
311;20110105;20110117;20110112;16607;SO43727;3578,27
313;20110106;20110118;20110113;27666;SO43728;3578,27
346;20110106;20110118;20110113;11238;SO43729;3399,99
346;20110106;20110118;20110113;25861;SO43730;3399,99
314;20110106;20110118;20110113;16629;SO43731;3578,27
350;20110106;20110118;20110113;11025;SO43732;3374,99
312;20110106;20110118;20110113;27577;SO43733;3578,27
312;20110107;20110119;20110114;27604;SO43734;3578,27
310;20110107;20110119;20110114;16522;SO43735;3578,27
346;20110107;20110119;20110114;11002;SO43736;3399,99
311;20110108;20110120;20110115;13261;SO43737;3578,27
312;20110108;20110120;20110115;11606;SO43738;3578,27
310;20110108;20110120;20110115;13563;SO43739;3578,27
312;20110108;20110120;20110115;16527;SO43740;3578,27
310;20110109;20110121;20110116;27671;SO43741;3578,27
314;20110109;20110121;20110116;13576;SO43742;3578,27
347;20110109;20110121;20110116;11007;SO43743;3399,99
313;20110109;20110121;20110116;16631;SO43744;3578,27
311;20110110;20110122;20110117;16514;SO43745;3578,27
312;20110110;20110122;20110117;16616;SO43746;3578,27
314;20110111;20110123;20110118;27623;SO43747;3578,27
313;20110111;20110123;20110118;27625;SO43748;3578,27
314;20110111;20110123;20110118;27636;SO43749;3578,27
311;20110111;20110123;20110118;11591;SO43750;3578,27
313;20110111;20110123;20110118;11592;SO43751;3578,27
311;20110111;20110123;20110118;13265;SO43752;3578,27
310;20110111;20110123;20110118;16482;SO43753;3578,27
312;20110112;20110124;20110119;27617;SO43754;3578,27
311;20110112;20110124;20110119;27670;SO43755;3578,27
